severity,code,slug,title,message
"warning","MISSING_OFFICIAL_URL","fukusaki-child-medical-2026","福崎町 こども医療費助成制度","有効な公式URLがありません。"
"warning","DESCRIPTION_MISSING","suginami-nursing-home-reform","杉並区 認知症高齢者グループホーム整備（令和8年度新規指定なし）","概要がなく、メタ説明と本文の整合を確認できません。"
"warning","MISSING_OFFICIAL_URL","shibuya-sme-support","渋谷区 中小企業デジタル化支援助成金（公式助成確認不可）","有効な公式URLがありません。"
"warning","MISSING_OFFICIAL_URL","ota-newlywed-rent","大田区 新婚世帯家賃助成制度（公式助成確認不可）","有効な公式URLがありません。"
"warning","MISSING_OFFICIAL_URL","edogawa-newlywed-rent","江戸川区 新婚世帯家賃補助制度（公式助成確認不可）","有効な公式URLがありません。"
"warning","MISSING_OFFICIAL_URL","chuo-scholarship","中央区 奨学資金制度（公式助成確認不可）","有効な公式URLがありません。"
"warning","MISSING_OFFICIAL_URL","chuo-women-startup","中央区 女性起業家支援補助金（公式助成確認不可）","有効な公式URLがありません。"
"warning","MISSING_OFFICIAL_URL","minato-study-abroad","港区 海外留学支援奨学金（公式助成確認不可）","有効な公式URLがありません。"
"warning","MISSING_OFFICIAL_URL","bunkyo-housing-purchase","文京区 ファミリー世帯住宅取得支援制度（公式助成確認不可）","有効な公式URLがありません。"
"warning","MISSING_OFFICIAL_URL","koto-housing-purchase","江東区 子育て世帯住宅取得支援制度（公式助成確認不可）","有効な公式URLがありません。"
"warning","MISSING_OFFICIAL_URL","meguro-housing-purchase","目黒区 子育て世帯住宅取得支援制度（公式助成確認不可）","有効な公式URLがありません。"
"warning","DESCRIPTION_MISSING","ota-birth-bonus","大田区 妊婦のための支援給付（既存slugに統合）","概要がなく、メタ説明と本文の整合を確認できません。"
"warning","MISSING_OFFICIAL_URL","shibuya-women-startup","渋谷区 女性創業支援助成金（公式助成確認不可）","有効な公式URLがありません。"
"warning","MISSING_OFFICIAL_URL","edogawa-housing-purchase","江戸川区 住宅取得支援助成金（公式助成確認不可）","有効な公式URLがありません。"
"warning","MISSING_OFFICIAL_URL","koto-newlywed-rent","江東区 新婚世帯家賃助成制度（公式確認不可）","有効な公式URLがありません。"
"warning","MISSING_OFFICIAL_URL","adachi-newlywed-rent","足立区 新婚世帯住居費助成制度（公式確認不可）","有効な公式URLがありません。"
"warning","MISSING_OFFICIAL_URL","nakano-newlywed-rent","中野区 新婚世帯住居費助成制度（公式確認不可）","有効な公式URLがありません。"
"warning","MISSING_OFFICIAL_URL","machida-newlywed-rent","町田市 結婚新生活支援事業補助金（公式確認不可）","有効な公式URLがありません。"
"warning","MISSING_OFFICIAL_URL","hachioji-housing-purchase","八王子市 親元近居・同居住宅取得支援補助金（公式確認不可）","有効な公式URLがありません。"
"warning","MISSING_OFFICIAL_URL","musashino-newlywed-rent","武蔵野市 新婚・子育て世帯家賃助成制度（公式確認不可）","有効な公式URLがありません。"
"warning","MISSING_OFFICIAL_URL","bunkyo-newlywed-rent","文京区 新婚世帯家賃助成制度（公式確認不可）","有効な公式URLがありません。"
"warning","DESCRIPTION_MISSING","nakano-parenting-allowance","中野区 児童育成手当","概要がなく、メタ説明と本文の整合を確認できません。"
"warning","DESCRIPTION_MISSING","toshima-parenting-allowance","豊島区 児童育成手当","概要がなく、メタ説明と本文の整合を確認できません。"
"warning","DESCRIPTION_MISSING","itabashi-parenting-allowance","板橋区 児童手当（第3子以降加算）","概要がなく、メタ説明と本文の整合を確認できません。"
"warning","DESCRIPTION_MISSING","taito-senior-meal-service","台東区 高齢者配食サービス事業（重複候補）","概要がなく、メタ説明と本文の整合を確認できません。"
"warning","MISSING_OFFICIAL_URL","katsushika-afterschool","葛飾区 放課後子ども事業（わくわくチャレンジ広場・助成金ではないため掲載停止）","有効な公式URLがありません。"
"warning","DESCRIPTION_MISSING","katsushika-birth-bonus","葛飾区 妊婦支援給付金給付事業（既存slugへ集約）","概要がなく、メタ説明と本文の整合を確認できません。"
"warning","DESCRIPTION_MISSING","edogawa-birth-bonus","江戸川区 妊婦のための支援給付事業（既存slugへ集約）","概要がなく、メタ説明と本文の整合を確認できません。"
"warning","MISSING_ELIGIBILITY","katsushika-migration-bonus","葛飾区 ファミリー世帯定住促進支援金（公式確認不可）","主な対象者がありません。"
"warning","MISSING_OFFICIAL_URL","katsushika-migration-bonus","葛飾区 ファミリー世帯定住促進支援金（公式確認不可）","有効な公式URLがありません。"
"warning","DESCRIPTION_MISSING","katsushika-migration-bonus","葛飾区 ファミリー世帯定住促進支援金（公式確認不可）","概要がなく、メタ説明と本文の整合を確認できません。"
"warning","MISSING_ELIGIBILITY","kokubunji-energy-support","国分寺市 省エネ家電等買換え応援キャンペーン（受付終了）","主な対象者がありません。"
